MW,AliR_C,AroR_C,ChiA_C,SA,NHOH_C,HetA_C,RotB_C,BriA_C,HBD_C,HBA_C,FusedR_C,LogP_C,source
0.8209780000000004,0.75,0.6666666666666666,0.3333333333333333,0.85,0.5,0.6,0.625,0.0,0.6,0.4,0.6666666666666666,0.8415840000000007,ABL_dataset_2HZ0_GIN_processed
1.1035220000000003,0.75,0.6666666666666666,1.1666666666666667,1.0999999999999999,0.5,1.0,1.25,0.0,0.6,1.0,0.6666666666666666,0.7861840000000007,ABL_dataset_2HZ0_GIN_processed
0.9992860000000007,1.0,0.0,0.6666666666666666,0.8666666666666667,0.8333333333333334,0.9,0.625,0.0,0.8,0.6,0.3333333333333333,0.7899400000000004,ABL_dataset_2HZ0_GIN_processed
0.7710240000000003,0.5,0.3333333333333333,0.5,0.7333333333333334,1.0,0.7,0.75,0.0,1.2,0.7,0.0,0.3940799999999999,ABL_dataset_2HZ0_GIN_processed
0.8210860000000003,0.25,1.0,0.3333333333333333,0.7666666666666666,0.3333333333333333,0.7,0.375,0.0,0.6,0.5,0.6666666666666666,0.6189040000000002,ABL_dataset_2HZ0_GIN_processed
1.0392920000000003,1.0,0.3333333333333333,0.6666666666666666,0.9500000000000001,0.3333333333333333,0.9,0.875,0.0,0.4,0.7,0.0,0.4639600000000003,ABL_dataset_2HZ0_GIN_processed
0.542634,0.25,0.3333333333333333,0.16666666666666666,0.5499999999999999,0.16666666666666666,0.7,0.625,0.0,0.2,0.4,0.0,0.4018,ABL_dataset_2HZ0_GIN_processed
0.8619040000000003,0.75,0.0,1.3333333333333333,0.9833333333333334,0.6666666666666666,0.9,0.5,0.0,0.8,0.6,0.0,0.08932000000000036,ABL_dataset_2HZ0_GIN_processed
0.783074,0.5,0.3333333333333333,0.3333333333333333,0.6833333333333332,0.3333333333333333,0.7,1.0,0.0,0.4,0.6,0.3333333333333333,0.5620600000000001,ABL_dataset_2HZ0_GIN_processed
0.6065860000000002,1.0,0.3333333333333333,0.6666666666666666,0.9500000000000001,0.5,0.7,0.0,0.0,0.6,0.4,0.6666666666666666,0.14463999999999994,ABL_dataset_2HZ0_GIN_processed
0.9751140000000004,0.75,0.3333333333333333,0.6666666666666666,0.8666666666666667,0.3333333333333333,1.1,0.75,0.0,0.4,0.8,0.3333333333333333,0.5522240000000002,ABL_dataset_2HZ0_GIN_processed
0.6587640000000002,0.5,0.0,0.5,0.65,1.1666666666666667,1.0,0.625,0.0,1.4,0.9,0.0,-0.48349999999999954,ABL_dataset_2HZ0_GIN_processed
0.62343,0.25,0.6666666666666666,0.5,0.7333333333333334,0.16666666666666666,0.6,0.25,0.0,0.2,0.3,0.3333333333333333,0.7009600000000002,ABL_dataset_2HZ0_GIN_processed
0.9830280000000003,1.0,0.6666666666666666,0.6666666666666666,1.0333333333333334,0.16666666666666666,1.1,0.25,0.0,0.2,0.7,0.6666666666666666,0.8326800000000005,ABL_dataset_2HZ0_GIN_processed
0.8351500000000002,0.75,0.3333333333333333,1.1666666666666667,1.0166666666666666,0.16666666666666666,0.7,1.0,0.0,0.4,0.6,0.3333333333333333,0.6567600000000005,ABL_dataset_2HZ0_GIN_processed
0.668838,0.0,1.0,0.16666666666666666,0.6333333333333333,0.5,0.4,0.875,0.0,0.6,0.4,0.0,0.6402400000000004,ABL_dataset_2HZ0_GIN_processed
0.8409240000000003,0.5,0.3333333333333333,1.0,0.8833333333333333,0.3333333333333333,0.9,1.0,0.0,0.4,0.8,0.0,0.3110399999999999,ABL_dataset_2HZ0_GIN_processed
0.9411380000000006,0.75,0.3333333333333333,0.3333333333333333,0.7666666666666666,0.16666666666666666,1.1,0.375,0.0,0.2,0.9,0.3333333333333333,0.9358200000000005,ABL_dataset_2HZ0_GIN_processed
0.7767980000000003,0.5,0.3333333333333333,0.5,0.7333333333333334,0.5,0.9,0.375,0.0,0.6,0.6,0.3333333333333333,0.49763600000000013,ABL_dataset_2HZ0_GIN_processed
0.7351160000000001,0.25,0.6666666666666666,0.0,0.5833333333333334,0.16666666666666666,0.3,0.75,0.0,0.2,0.2,0.3333333333333333,1.080384000000001,ABL_dataset_2HZ0_GIN_processed
0.7991140000000004,0.75,0.0,0.8333333333333334,0.8333333333333334,0.5,0.8,0.75,0.0,0.6,0.7,0.3333333333333333,0.015940000000000332,ABL_dataset_2HZ0_GIN_processed
0.9050300000000003,0.75,0.6666666666666666,0.3333333333333333,0.85,0.16666666666666666,1.0,0.375,0.0,0.2,0.8,0.5,0.6609960000000003,ABL_dataset_2HZ0_GIN_processed
0.8934180000000007,1.25,0.0,0.6666666666666666,0.9500000000000001,0.8333333333333334,0.7,1.25,0.0,1.0,0.5,0.0,0.5592600000000003,ABL_dataset_2HZ0_GIN_processed
1.0222640000000005,0.75,0.3333333333333333,0.6666666666666666,0.8666666666666667,0.3333333333333333,0.9,1.125,0.0,0.4,0.7,0.0,1.2640200000000013,ABL_dataset_2HZ0_GIN_processed
0.9092000000000005,0.75,0.6666666666666666,0.5,0.9,0.6666666666666666,0.9,0.875,0.0,0.8,0.8,0.8333333333333334,0.5413440000000002,ABL_dataset_2HZ0_GIN_processed
1.0171560000000008,0.75,0.0,1.0,0.8833333333333333,0.5,1.1,1.625,0.0,0.6,0.8,0.0,0.5761800000000001,ABL_dataset_2HZ0_GIN_processed
1.2755420000000002,0.75,0.3333333333333333,0.8333333333333334,0.9166666666666666,1.1666666666666667,1.3,1.75,0.0,1.4,1.1,0.3333333333333333,1.0382200000000006,ABL_dataset_2HZ0_GIN_processed
0.9072620000000005,1.25,0.0,1.1666666666666667,1.0999999999999999,0.6666666666666666,0.7,0.625,0.0,0.8,0.7,0.3333333333333333,0.3723400000000002,ABL_dataset_2HZ0_GIN_processed
0.8589020000000004,0.0,0.3333333333333333,0.3333333333333333,0.5166666666666667,0.8333333333333334,1.2,1.25,0.0,1.0,0.9,0.0,0.28104000000000007,ABL_dataset_2HZ0_GIN_processed
1.1215220000000001,1.0,0.3333333333333333,0.8333333333333334,1.0,0.3333333333333333,1.0,1.125,0.0,0.4,0.8,0.3333333333333333,0.7729800000000007,ABL_dataset_2HZ0_GIN_processed
1.2777440000000002,0.5,0.3333333333333333,0.6666666666666666,0.7833333333333333,0.5,1.2,2.5,0.0,0.6,0.8,0.0,0.8144200000000007,ABL_dataset_2HZ0_GIN_processed
